plantBEC,seedBEC,HTp
ESSFdh1,ICHwk2,0.899712407
ESSFwk1,CWHvm2,0.899711733
BWBSmw,ICHwk2,0.899686657
ESSFvc,ESSFwm2,0.899681972
ESSFdh2,SBSmh,0.899679837
ESSFdc1,IDFww,0.899657403
MHmmp,ICHwk3,0.899638356
ESSFxv1,BWBSwk1,0.899633349
ESSFdk1,ESSFmm3,0.899631843
ESSFxc2,MSxv,0.899622719
ESSFmcw,SBSdh2,0.899615247
ESSFxcw,SBSmc2,0.899611386
ESSFdc3,IDFdc,0.899606635
ESSFwh2,SBSmm,0.899598159
SBSmk2,ICHmk2,0.899594016
ESSFdcw,MHmm1,0.899593759
ICHdw4,IDFdm2,0.899587707
IDFdk2,IDFdk3,0.899587455
CWHds1,ICHxw,0.899584909
MSdm1,SBSmm,0.899581928
ESSFdkp,ESSFmwp,0.899566065
ESSFmk,SBSmk1,0.899561294
ESSFwc2,ICHdk,0.899557207
IDFdk3,ICHwk1,0.8995524
ESSFvcw,ESSFwc3,0.899536191
MHmm2,CWHvh2,0.899530356
CWHds1,CWHds2,0.899519774
ESSFmcw,ESSFmh,0.899496877
SBPSmc,MSxk3,0.899487812
ESSFwcw,ICHmk3,0.899483171
ESSFwvp,ESSFunp,0.899474238
ESSFwv,ESSFwc3,0.899457303
SBPSxc,MSdc2,0.899414847
ESSFdv2,SBSdw1,0.899412049
ESSFmv3,ESSFwm1,0.899410159
MHmmp,SBSvk,0.899402754
BWBSwk2,SBSdh1,0.899398993
MSdm1,ICHmm,0.89939728
ESSFwc4,ICHmw1,0.899393041
MSxk2,ESSFmw1,0.899391714
ICHmm,CWHms2,0.899382161
SBSdw1,SBSdw3,0.89937993
MSxk3,ESSFmk,0.899375721
IDFdc,MSdm3,0.899366257
SBSmk2,MSdk,0.899350266
BWBSwk1,ESSFmk,0.89935003
ESSFwk2,ESSFvcw,0.899341888
ESSFmkp,ESSFmh,0.89933315
MSdm3,ESSFwh1,0.899332563
ESSFxv1,ESSFwc3,0.89932699
MHmm2,SBSwk1,0.899323703
MSdc2,CWHds1,0.899320306
MHmm2,ICHwc,0.899307933
IDFdk5,IDFdk1,0.899306244
ESSFwh2,IDFww,0.899304467
ESSFmkp,ESSFdv2,0.899303048
ESSFxcw,CWHds2,0.899289548
ICHmk4,ICHdk,0.89928852
ESSFdv1,ESSFxv1,0.899277771
IDFxm,SBSmw,0.899268292
ESSFdh1,CWHmm1,0.899266517
SBSmh,ICHmk1,0.899244054
ESSFxc2,IDFww,0.899233736
SBSdh1,ICHwk4,0.899222684
SBSmh,ICHmk3,0.89921999
ESSFmkw,ESSFmww,0.899219139
ESSFmc,ESSFdc2,0.899218587
ESSFwc2,ICHmc2,0.899217859
ESSFun,SBSmk1,0.899215508
SBSmm,SBSmc2,0.8992151
MSdc1,SBSmc1,0.899211681
ESSFmm1,MHmmp,0.899197416
ESSFdkw,ESSFwcp,0.899187241
ICHmc2,ICHwk4,0.899173084
ESSFmv3,SBPSmk,0.899166586
MSdm2,SBSdw2,0.899138166
IDFdk1,ESSFdh1,0.899135168
SBSmh,ICHdk,0.899122815
SBPSdc,ESSFdc3,0.899113211
SBSdh2,CWHws2,0.89910875
ESSFwc2,SBSmw,0.899094274
ESSFwm1,SBSdw1,0.899093937
MHmm2,ICHmw3,0.899090137
ESSFxcw,SBPSxc,0.8990795
ESSFvcp,CWHms1,0.899070326
ESSFwcp,MHwhp,0.899060467
ESSFmm2,ESSFwm3,0.899053567
ICHwc,CWHds2,0.899051741
ESSFwcw,ICHmw3,0.899040017
ESSFmcp,SBSmc1,0.899027548
ESSFwcw,SBSmm,0.899021578
IDFdk1,MSdc1,0.899009413
SBSvk,SBSdh1,0.898982544
BWBSwk1,MSdw,0.898979042
ESSFmv2,ESSFwm2,0.898954008
ICHwk1,ICHmk1,0.898944916
ESSFmkp,ESSFmc,0.898944493
MSdm3,IDFdk1,0.898936957
ESSFdv1,CWHws2,0.898924902
IDFdk2,MSdm3,0.898908331
ICHvc,SBSmh,0.898904342
ESSFdc1,ESSFmw,0.898901621
ESSFdh2,ICHmw4,0.898852889
ESSFmk,ESSFwm3,0.898848178
ESSFdkw,MSdm1,0.898845738
ESSFdvw,ICHmw1,0.898838073
ICHwk1,ICHmc2,0.898828533
MSdm2,IDFxc,0.898822572
ESSFxcw,ICHvk1,0.898818907
ESSFvc,ESSFdk1,0.898810355
ESSFdkw,ICHmk5,0.898805111
ESSFmww,IDFdc,0.898788245
SBSdw2,SBPSdc,0.898776968
MSxk2,ICHmw4,0.89876879
ESSFwmw,MSdk,0.898756148
ESSFwvw,CWHws1,0.898755866
SBPSdc,MSxk2,0.89875102
ESSFmk,MSdm3,0.898744885
ICHvk2,ICHwc,0.89874405
CWHwm,ICHwk3,0.89873973
ICHmk3,CWHws2,0.89872852
CWHvh2,MHwh1,0.898724672
ESSFmmp,ESSFxv1,0.89872437
ESSFvc,ICHdw3,0.898709139
ESSFmwp,ICHdm,0.89869771
ESSFdc2,IDFdk3,0.898693817
ESSFxvw,SBSmc2,0.898691927
MSxk3,ICHvk1,0.898690037
ESSFmw1,ICHwk4,0.89868158
ICHdw1,ICHmw3,0.898678585
ICHmk1,IDFxx1,0.898659718
SBSdk,MSdm2,0.898651653
ESSFmm1,ESSFwv,0.898648257
ESSFmmw,ICHmk3,0.898642138
ESSFwc2,ESSFmm3,0.898618498
MSxk3,ICHwk3,0.898615248
ESSFvc,ESSFdc1,0.898614455
BWBSwk3,ICHwc,0.898603153
ESSFwm2,MHmm1,0.898590799
ESSFxc3,SBSmk1,0.898584014
ESSFwvw,ESSFwm2,0.898575204
ESSFxvp,CWHms1,0.898574003
IDFdh,IDFdm1,0.898571179
MHmm2,ICHmw2,0.898547596
MSxk1,IDFxh2,0.898546656
SBSmc3,ESSFmk,0.898545833
ESSFmkp,ICHwk2,0.898544719
ESSFdkw,ESSFwv,0.898544625
SBSwk3,ESSFwk1,0.898528683
IDFdk5,MSdm3,0.898517803
ESSFmv4,SBSdw3,0.898496336
SBSmc1,SBSmc2,0.898490893
SBSdh2,ESSFdh2,0.898455555
SBPSdc,IDFxx2,0.898453951
ESSFmww,ICHwk3,0.898453547
ESSFxcw,SBSdh2,0.898453518
SBSmc3,MSdc2,0.898443493
ESSFmm1,ICHmc2,0.898401335
ICHmm,SBSmc1,0.898397007
CWHms1,CWHws2,0.898385682
ESSFwc3,SBSwk2,0.898363817
IDFxw,SBSdh1,0.898354008
ESSFwv,SBSdh1,0.898327482
SBSun,ICHwk3,0.898322002
ICHwk1,ICHvk2,0.898316103
MSdc2,MSxv,0.898315139
IDFdk3,ESSFdh1,0.898314979
ICHdw3,ICHdk,0.898308503
ICHmc2,ICHmc1,0.898296104
ESSFmcw,ESSFdcw,0.898285701
ESSFwh3,MHmm1,0.898285616
ESSFxv2,ESSFdkw,0.898271148
CWHwm,ICHvk2,0.898254903
ESSFmv1,CWHms1,0.898250532
ESSFxc3,ICHvc,0.898246948
ESSFdvw,ICHwk2,0.898236777
MSdc2,ESSFdcw,0.898229516
ESSFmk,ESSFwk2,0.898203275
SBSwk1,ESSFwk1,0.898199921
MSxv,ICHxm1,0.898196797
ESSFwh2,ESSFdk1,0.89819498
ESSFmkw,MSdc3,0.898192677
SBSmc1,SBSmk1,0.898192497
ESSFmwp,ESSFxcp,0.89818449
ESSFmc,SBPSdc,0.898184332
SBSmc2,ESSFmk,0.898175474
ESSFwm1,ESSFdk2,0.898173895
ESSFmwp,ESSFdkw,0.89816856
MSxk3,ESSFdk1,0.89815793
ESSFdk1,SBSdh2,0.898147065
IDFmw2,ICHmw5,0.898143978
ESSFvcw,MHwhp,0.898142589
BWBSdk,MHun,0.898140032
SBSmc3,ESSFmv1,0.898137974
ESSFxv2,ESSFmv2,0.898132915
ESSFwh1,MSdm1,0.89811194
CWHws1,CWHms1,0.898104789
ESSFmc,ESSFmw2,0.898100809
MSdc3,IDFdm2,0.898093526
SBPSmk,IDFdk1,0.898085621
ESSFmv3,ESSFwm2,0.898066177
ESSFdcp,ICHmw1,0.898052501
SWBmk,ESSFmm2,0.898052241
SBPSdc,SBPSxc,0.898003654
ICHwk3,ESSFwh3,0.898003488
ESSFmw,MSdm2,0.898001418
ESSFdvw,ICHdk,0.89799636
ESSFmv3,SBSmk2,0.897989565
ESSFwv,SBSdh2,0.897987708
ESSFxv1,ICHdw3,0.897981943
MSxv,ESSFdcw,0.89796025
ESSFmmw,ICHwc,0.897951006
BWBSmw,SBSdh2,0.897942501
SBSmh,SBSmw,0.897941628
ESSFmv2,ESSFmc,0.897933831
ICHmk2,IDFxx2,0.897932077
ESSFmw1,IDFdc,0.897925051
ESSFmv3,SBSdh1,0.897924535
ESSFdc3,IDFdm1,0.897922857
ESSFmkp,MSdc2,0.897903834
SBSmk2,ICHwk1,0.897902114
MSxk3,ESSFmm2,0.897900884
ESSFxvw,ICHmw5,0.897891395
ICHmk4,MSdm1,0.897887234
ESSFmv1,IDFdk5,0.897884835
MSdc2,SBPSdc,0.8978806
ESSFdcp,ESSFmv1,0.897865053
ESSFdcw,SBSdh2,0.8978609
MSdm2,SBSmw,0.897846241
ICHvk1,ICHmk3,0.897836255
BWBSwk1,ICHmw5,0.897830844
ESSFdh2,SBSdw1,0.897828481
MSdm3,IDFxw,0.897816765
SBSvk,ESSFwh3,0.897806324
SBSdw2,IDFxx2,0.897801691
ESSFwcw,ICHmw2,0.89779818
ICHmc2,IDFmw2,0.897791728
SBSmc2,IDFxm,0.8977826
ESSFmww,ICHdw3,0.89777994
ICHxw,IDFww,0.897776767
ESSFwm2,MSdm3,0.897771797
ESSFxc1,ESSFxc3,0.897770792
ESSFmm2,ESSFmw2,0.897765707
ESSFmm1,BWBSwk1,0.897749363
ESSFmw2,ESSFdv2,0.897749119
MSdc1,MSxk2,0.897744246
SBSdw2,IDFxw,0.897743489
ESSFun,ESSFmm2,0.897741191
ESSFmm3,SBSdw2,0.897736247
ESSFdv2,SBSmc2,0.89773366
ESSFwk2,SBSmc1,0.897698719
MSdc3,IDFdk5,0.897695179
ESSFdh1,ICHdk,0.89767678
ESSFwm4,SBSdw1,0.897674059
ESSFmm1,SBSmw,0.897661041
SBSmw,SBPSmk,0.897630628
ESSFxc2,ESSFmv1,0.897625263
ESSFdk1,ESSFmw2,0.897613471
BWBSwk1,ESSFmh,0.897611864
ICHmw2,ICHdm,0.897605428
SBPSdc,ESSFdh1,0.89758479
ESSFmw1,SBSdh1,0.897583099
ESSFwmp,SBSwk1,0.897575715
ICHmw5,IDFdm1,0.897570518
IDFdk2,SBSdw1,0.897569818
ESSFdv2,ESSFmv1,0.897565418
ESSFmc,ESSFdk2,0.897556817
SWBmks,CWHwm,0.8975366
ESSFmw,SBSmw,0.897529005
MSdm1,ESSFwh2,0.897526835
ESSFwc2,ESSFdh1,0.897507207
ESSFwh3,ICHdw3,0.897505543
ESSFdc2,ESSFvc,0.897500628
ICHdw3,ICHmk2,0.897493023
IDFdk5,MSdm1,0.89748248
ESSFwc4,ICHmk1,0.897481813
MHwh1,CWHmm1,0.897475877
MSdc3,IDFmw2,0.897462414
ESSFdvp,ESSFmcw,0.897456701
SBSvk,SBSmw,0.897455933
MSdc2,ESSFmv1,0.897434514
ESSFmcw,CWHws1,0.897407089
ICHmw5,ICHmw1,0.897406949
ESSFmw2,ICHdw4,0.897406859
ESSFwmp,ESSFdkp,0.897400384
IDFdk1,ICHmw1,0.897385385
ESSFwh2,ICHmc2,0.89738449
ESSFmv4,ESSFwvw,0.897383206
IDFdk2,MSdw,0.897376613
ICHvk2,ESSFwk1,0.897376476
ESSFdk2,ESSFwk2,0.897368737
SWBmk,ESSFwvw,0.897340133
ESSFxcw,SBSdw1,0.897330302
SBSdk,IDFdk1,0.897322877
SBSdk,ICHxw,0.897317144
ESSFwv,ESSFwh3,0.897316039
ICHvk1,ESSFmh,0.897313637
SBSdh1,ICHmk5,0.897309767
ESSFxcp,ESSFmcw,0.897299424
ESSFmmw,BWBSwk1,0.897282632
CWHvm2,MHwhp,0.897217967
ESSFxc1,ESSFwm1,0.897213588
ICHmc2,ICHdk,0.89720787
ESSFxc2,IDFdm2,0.897204618
ESSFdv2,SBPSmk,0.897191802
ESSFwm3,CWHds1,0.897189107
ESSFwv,ESSFmw,0.897181267
ESSFxc2,IDFdk5,0.897181144
ESSFdc1,SBSdh2,0.897179385
MHmm1,CWHds1,0.897172804
ICHwk4,ICHmk2,0.897164255
ESSFmv2,SBSmm,0.89716067
SBSmc1,ESSFwm1,0.897158529
SBSwk3,ESSFmh,0.897153637
SBSmm,ESSFwm1,0.897129102
ICHmm,MSdk,0.897119689
MSdv,IDFdk3,0.897116501
SBPSmc,MSdc2,0.897112696
SBSdw1,SBPSmk,0.897112467
SBSmc2,ESSFmm2,0.897087257
ESSFmcw,ESSFxc2,0.89707852
ESSFdvw,MSdk,0.897076674
MSdc2,MSxk2,0.897075995
IDFww,IDFxx1,0.897073349
ESSFdkw,ICHmc1,0.897064987
ESSFmvp,SBSmc1,0.897063342
SBSmc2,IDFdk2,0.897058201
MSdv,ESSFvc,0.897042118
ESSFdkp,ESSFmcw,0.897037138
MSxk1,SBSdh2,0.897034738
ESSFdh2,IDFxx2,0.897019963
IDFxh2,IDFdc,0.896983217
SBSwk2,ESSFmm2,0.896971736
ESSFdv2,ESSFxcw,0.896960556
ESSFdh2,IDFdw,0.896957441
SBSmm,IDFdc,0.89695306
ESSFxvw,MSdk,0.896949854
ESSFwk1,CWHds1,0.896932971
ESSFdvp,ESSFmmp,0.896920219
ESSFdv1,IDFdk3,0.896918601
ESSFdc3,ESSFdk2,0.896916719
IDFdc,IDFxm,0.896906916
ICHdm,SBSdw1,0.896891493
ICHmk2,SBPSmk,0.896888422
ICHdw3,ICHmw1,0.896854407
MHmm2,ICHmk4,0.896839957
ESSFmmp,ESSFwvp,0.896810907
ICHvk1,SBSvk,0.896808934
SBSmh,IDFdm1,0.896789889
MSdc3,ESSFvc,0.89676101
ICHmk5,SBPSdc,0.896752256
ESSFwk2,ICHmw3,0.896740832
ESSFxc3,ESSFmm1,0.896729364
ESSFmww,ICHdw1,0.896713967
ESSFwc4,SBSmm,0.896709687
ICHdw4,CWHxm1,0.896682136
ESSFdc1,MSdc3,0.896681504
ESSFwh1,SBSwk1,0.896678937
ESSFmv4,ESSFmcw,0.896665368
CWHws1,ICHmw2,0.896638971
ESSFwm3,SBSvk,0.896606118
IDFdw,ICHwk1,0.896605974
ESSFdkp,ESSFmc,0.8965817
SWBuns,ICHmc1,0.89657523
ESSFmww,ESSFxc3,0.896563229
ESSFmm2,ESSFmc,0.896561416
MSxv,IDFxm,0.896550157
ESSFxcp,ICHmm,0.896541111
ESSFxc2,SBSdw3,0.896537384
ICHmk4,ICHmk2,0.896526749
ESSFmv2,ICHmw4,0.896508616
SBSmc1,SBPSdc,0.896496628
CWHwh2,CWHws1,0.896490699
SBSwk3,ICHdw4,0.896464956
ESSFvcp,ESSFwv,0.89646128
IDFxw,SBSdw1,0.896460019
MSdc3,ESSFwc2,0.896457988
ESSFxc3,SBSdw3,0.896440624
SBSmm,SBSmk1,0.896439711
ESSFxcw,CWHws2,0.89642462
ESSFwcp,ESSFwmp,0.896401799
SBPSmk,IDFdw,0.896373098
ESSFwvp,SBSwk2,0.896359479
ESSFdcp,MSxk1,0.896346766
IDFww1,IDFmw2,0.89632042
MSdc2,ICHwc,0.896319838
ESSFvcw,ICHvc,0.896317372
MSdw,ESSFwh3,0.896316636
BWBSwk1,ICHmw4,0.896306715
ESSFdcp,ICHvc,0.89630405
SWBmks,ESSFwcp,0.896302457
CWHws2,CWHdm,0.896299906
ESSFdv2,ICHvc,0.896297271
BWBSmw,SBSwk2,0.896287235
MSxk1,IDFxc,0.896282705
ESSFdvw,ESSFxcp,0.896278241
ICHmk2,ESSFwh2,0.896254802
ESSFwh1,ESSFmw1,0.896241413
SBSmc1,IDFdm1,0.896238728
ICHwk1,IDFww,0.896235994
MHwh1,CWHwm,0.896229811
ESSFmv4,CWHws2,0.89622183
ESSFunp,ESSFvc,0.896217533
ESSFmw,ICHwc,0.896203816
ESSFwh1,CWHxm2,0.896190515
BWBSwk1,ESSFwk2,0.896180036
ICHmc1,ICHmw4,0.896172413
IDFmw2,SBSdh1,0.896165201
IDFdw,ICHmk4,0.896158918
ESSFmm2,MSdc3,0.896123393
SBSmk1,ESSFwh2,0.8961059
ESSFwc2,CWHmm2,0.896100312
IDFdm1,ICHmw5,0.896098117
IDFww,IDFxh1,0.896068835
ESSFmw,ICHmk5,0.896068593
ESSFdh2,ICHmk3,0.896062008
ESSFmkw,BWBSwk1,0.896042889
SBPSmk,ICHvc,0.896039723
ICHwk1,CWHmm1,0.896036051
CWHds2,CWHmm2,0.896026842
SBSmc3,ESSFdc1,0.896013607
ESSFmw2,SBSdw1,0.895994075
MSdc1,MSdv,0.895985445
ICHwk4,ICHmk1,0.895981481
MSdc3,SBSmc3,0.895978156
ESSFmw1,SBSmm,0.895975049
ICHwk2,MSdm1,0.895971238
MSxk2,IDFxc,0.895955734
ESSFmkp,ESSFdc3,0.895950559
CWHms1,ICHvk1,0.895942155
MSdc1,ICHmm,0.895934283
SBPSmk,MSxk1,0.895926633
ESSFxvw,SBSmc3,0.895912011
IDFxm,ICHmk3,0.895910428
SBPSmk,MSxk2,0.895900222
ESSFvcw,SBSmc1,0.895896169
SBSmc2,IDFdc,0.895889006
ESSFwc4,ESSFmm1,0.895882861
ESSFdcp,MSxv,0.895873439
SBSwk1,SBSdw2,0.895859396
ESSFmwp,ICHmm,0.895849086
ESSFwc3,ESSFmkp,0.895843017
ESSFxcp,ICHmk3,0.895841416
IDFdk1,MSxk2,0.895840535
ESSFvcp,ESSFdcp,0.89583646
ESSFxc1,MSxv,0.895832899
ESSFwh1,ESSFwc2,0.895823607
ESSFmcw,ESSFxv1,0.895808785
ESSFdvp,ESSFwcp,0.895803965
SBPSmc,ICHxw,0.895772443
ESSFdkw,MSdc3,0.89577051
ESSFdh2,IDFxx1,0.895749085
ICHmc2,ICHvk1,0.895748702
SBPSmk,MSdc1,0.89573223
ESSFdc3,SBPSmc,0.895714023
MSdk,ESSFdc3,0.895713953
SBSmc2,MSdc1,0.895674566
ESSFwcp,ESSFdcp,0.89567333
MSdc1,MSdc2,0.89566675
ESSFdc3,BWBSwk1,0.895652689
SBSdw1,IDFxx2,0.895622191
ESSFwh1,ICHdk,0.895619452
ESSFdcp,MSdm2,0.895615898
ESSFdk1,CWHds1,0.895608338
SBSmw,IDFdk3,0.895608195
ESSFxcp,ICHmk2,0.895603283
IDFdk2,CWHds1,0.895577818
ESSFxvw,ICHwk2,0.895520314
ESSFxvp,ESSFdkp,0.89551636
ESSFwc4,ESSFmw,0.895516212
ESSFmvp,BWBSvk,0.895513287
ESSFmh,SBSmc1,0.895508537
ESSFdvw,ICHmk5,0.895504633
ESSFdv2,ESSFvcw,0.895503927
ESSFmcp,ICHmm,0.89548831
ICHdk,SBSdw3,0.895484566
IDFxx2,IDFxw,0.895470487
ESSFdh1,ESSFwh2,0.89546242
ESSFwm3,CWHmm1,0.895455441
SBPSdc,IDFxk,0.895450984
ESSFmv1,MSdv,0.895430489
ESSFdkp,SBSwk1,0.895430151
ESSFwmw,MSdc2,0.895418934
MHmm2,ESSFmw,0.895407274
IDFdm1,SBSmh,0.895393784
ESSFmv3,SBSdw1,0.895390898
MSxk1,IDFdk4,0.895385308
ESSFxc3,IDFdk1,0.895380966
ESSFmw2,IDFdk2,0.895372964
SBSdh2,IDFdk3,0.895367984
ESSFmv2,SBSdh2,0.895361815
ESSFdkw,BWBSwk1,0.895361272
SWBmks,ESSFwc2,0.895360995
MSxk1,ESSFdc3,0.895359111
ESSFwcw,ESSFdc2,0.895353388
SBSmk1,ESSFwk1,0.895349819
ICHmw5,ICHdk,0.89534164
ESSFwm4,MSdm3,0.895340418
ESSFdk2,ESSFmv2,0.895334416
ICHwk2,ICHmc1,0.895304486
ICHmk1,ICHmc2,0.895301604
ESSFmv2,ESSFmw,0.895293019
ESSFmmp,ESSFdkp,0.895290992
ESSFvcw,ESSFdcw,0.895287085
ICHmk1,ICHmk5,0.895285828
ICHwk4,ESSFwk1,0.895275022
SBSmw,ICHvk2,0.89526452
ESSFxv1,SBSmk1,0.895257819
ESSFmh,SBSmm,0.895257683
IDFdk5,ICHmk5,0.89525053
ESSFdcw,SBSdh1,0.895249258
SWBmks,BWBSwk2,0.895244033
SBSmw,CWHds1,0.895240433
SBPSmk,ESSFwh1,0.895238579
ICHmk3,ICHvk2,0.895235231
ESSFxv2,ICHmw3,0.895224267
IDFxm,ICHmw1,0.8952191
MSdm3,SBPSdc,0.895207558
ESSFwmw,ESSFdkw,0.895202201
ESSFwh2,ESSFwc2,0.895201853
ESSFxv1,ESSFmmw,0.895199903
ESSFdkp,ESSFxv2,0.89519115
ESSFdv2,SBSvk,0.895180409
ESSFwvw,ICHmk3,0.895174551
IDFdk3,SBSmc1,0.895172929
SBSmm,ESSFdk1,0.895168221
IDFdk3,ICHmm,0.895165567
SBSdw1,SBSmm,0.895162137
ESSFdc1,CWHmm1,0.895144166
ESSFmcw,ICHdk,0.895135979
ESSFdc2,ESSFwk1,0.895133531
SBSmc1,MSdc1,0.895126844
SBSwk1,ICHmk1,0.895122857
SBPSdc,ICHmw4,0.89512129
ESSFmv3,ESSFdk1,0.895108681
ESSFmm2,SBSmc3,0.895105946
SBSmc1,ESSFwc2,0.895090528
ESSFxcw,IDFdk2,0.895090058
ESSFwc3,ICHmw4,0.895068422
IDFxc,IDFdm2,0.895066523
ICHdm,ICHmm,0.895061671
ESSFxcp,MSdk,0.895032048
ESSFvcp,ESSFmm2,0.895027448
ESSFmww,ESSFxv1,0.894991567
MSdw,ESSFdh2,0.894969854
CWHms2,CWHwh2,0.894960357
ESSFxvw,ICHmw1,0.894959628
ESSFwvp,ESSFwm2,0.894958747
ICHmw5,CWHdm,0.894953233
ESSFmw,MSdm3,0.894942933
MHwh,CWHms1,0.89491438
ESSFxc3,SBSwk3,0.894908423
ICHmk1,SBSmw,0.894907626
MSdc3,ESSFmm2,0.89490409
SBSmh,ICHmk2,0.894902134
ESSFdvw,CWHds2,0.89489562
ICHmk2,IDFxm,0.894889359
ESSFxcp,CWHws2,0.89488459
SBSwk1,MSdk,0.894883047
ICHwk4,ESSFvc,0.894873042
ESSFxc2,ICHxm1,0.894870975
ICHwk4,SBSmc1,0.894869122
ESSFvcp,ICHmm,0.894857622
ESSFmw1,ICHmk5,0.894855165
IDFxh1,IDFxk,0.894852841
ESSFmv1,MHmm2,0.894834122
SBSdk,IDFxk,0.894829062
ESSFwm2,SBSdw1,0.894824623
SWBmks,ESSFmm2,0.8948126
ESSFdvw,ESSFxvp,0.894812018
ESSFxc3,ESSFxvw,0.894801494
MSdm3,IDFxh1,0.894800102
IDFdh,IDFdm2,0.894796019
ESSFmc,ESSFmw1,0.894792606
ESSFwcw,ICHwc,0.894791087
CWHms1,CWHvh1,0.894784785
ESSFmv2,ESSFdk1,0.894784655
ESSFxc1,ICHvk1,0.894777903
MHmm2,ESSFvcw,0.894752008
ESSFmv3,SBSdw2,0.894745592
ESSFwk2,ICHmw4,0.894742998
ESSFmv3,ESSFvcw,0.894730571
IDFdk2,ICHdk,0.894705604
SBPSmk,ICHvk2,0.894701432
ESSFxcp,SBSmc3,0.894700491
ICHwk3,ICHdw1,0.894693252
MHmmp,ICHwk4,0.894680655
ESSFdkw,ICHmw5,0.894663602
ESSFmk,ESSFmv2,0.894663366
ICHxm1,IDFww1,0.894662803
SBSwk3,MSdm1,0.894643822
BWBSmw,ICHmm,0.894640391
ESSFwm4,ESSFdc2,0.894639277
SBPSmk,SBSwk3,0.894638605
CWHvm2,CWHws1,0.894636572
ESSFmcw,ESSFwvp,0.894632491
MHmmp,CWHws1,0.894622379
ICHmw3,ICHmk3,0.894615411
MSxk3,ESSFmww,0.894612257
ESSFmw,ESSFdcw,0.894597405
SWBun,BWBSmw,0.894595721
MSdm2,IDFxx1,0.894594508
ESSFwc4,ICHdk,0.89458827
IDFdc,MSdw,0.894588171
BWBSmw,BWBSwk1,0.894575615
ESSFmw1,SBSmc1,0.894571579
SBSmw,IDFdm1,0.894561886
SBSwk3,IDFdk5,0.894557916
SBSmk1,ESSFwh1,0.894556227
SBSwk2,SBSmm,0.894554866
ESSFdh1,MSdm3,0.894552941
ESSFvcw,ESSFmv2,0.894548705
ESSFmvp,ESSFdkw,0.894548531
SBSdk,ESSFmh,0.894546201
MHmm2,ESSFmh,0.894538939
ESSFdvp,MSdm2,0.894525694
ESSFmwp,ESSFdvp,0.894525095
IDFdc,IDFdk3,0.894512919
ESSFwm1,ESSFmm3,0.894511643
SBSmc1,IDFdk2,0.894506231
SBSmc1,ESSFdk1,0.894500987
ESSFdv2,ESSFmc,0.894488258
SWBuns,ESSFmcp,0.894476359
ESSFwk1,ESSFmw1,0.894472011
ESSFwk1,ICHmk1,0.894457935
ESSFwk2,ICHmk4,0.894439427
ESSFvcp,ICHmw4,0.894420355
IDFdk2,ICHmw1,0.89441809
SBSdk,IDFxx2,0.894416499
ICHmk4,CWHms2,0.894413399
ESSFmc,CWHms1,0.894412558
ESSFmv2,MHmmp,0.894404026
SBSwk2,ICHmw2,0.894401952
CWHwm,CWHvm2,0.894397185
ICHmw4,ICHdm,0.894393539
SWBun,SBSwk1,0.894391908
ICHmc2,IDFww,0.894389834
MSdm2,SBSmm,0.894385264
PPxh2,IDFxh2,0.894369518
ESSFdc3,MSxk2,0.894355258
SBSdw1,ESSFdh2,0.894354506
ESSFmw,ESSFmm2,0.894346679
SBSwk2,MSdk,0.894338555
ESSFwm2,ICHmc1,0.894337504
MSdw,SBSdw2,0.894318522
ESSFxcw,ESSFmc,0.894315654
ESSFxvw,ICHmk5,0.894306535
ESSFmkw,ESSFwmw,0.89430406
ESSFdv2,ESSFwcw,0.894287258
ESSFwc3,CWHms1,0.894275225
MSdc2,ESSFdk2,0.894273533
ESSFmvp,ESSFwm2,0.89427282
ICHmk3,ESSFwh2,0.894268137
ESSFmm3,ESSFmww,0.89424979
ICHmw5,CWHmm1,0.894248069
ESSFxvw,ESSFmcw,0.894247985
ESSFmw1,ESSFmw,0.894236672
ESSFdkw,ESSFxv1,0.894230354
ESSFdkw,ICHvc,0.894225245
ICHdw3,MSdw,0.894221143
ESSFmcp,ESSFdcw,0.894220201
ESSFdk2,SBSwk2,0.894219959
IDFdk4,ICHmk4,0.894213571
ESSFxc2,ESSFmm1,0.894208707
ESSFdkp,ESSFwvw,0.894199841
MHmm2,CWHwh1,0.894199365
MSxk3,ESSFwm2,0.894191084
SBSwk2,ESSFwh1,0.894171864
SBSwk3,ESSFmm2,0.894171467
ESSFmkp,ESSFmmp,0.894162444
ESSFvcw,ICHmw3,0.894154204
ESSFdv1,ESSFmm3,0.894151532
ESSFwh2,CWHmm1,0.894127995
CWHws1,ICHmw3,0.89412375
SBSun,BWBSmw,0.894118571
SBSdw3,SBSmc2,0.894099708
IDFdm1,IDFxm,0.894096272
ESSFwcp,SBSmc1,0.894092569
IDFdc,MSxk1,0.894088714
ESSFwh1,SBSdh1,0.894062396
SBSwk3,IDFdk3,0.894052867
ESSFwm2,ESSFvcw,0.894051924
ICHmk4,SBSmh,0.894045023
ESSFmw1,ICHxm1,0.89404056
ESSFxvw,ICHmw4,0.894036782
IDFdk4,ICHmm,0.894012788
ESSFxvp,MSdc1,0.894009967
ESSFmv4,SBSmm,0.89399393
ESSFmv1,CWHwm,0.893991867
SBPSdc,ICHvc,0.893989349
ICHwk2,ESSFwh1,0.893985331
ESSFxc2,MHmm2,0.893982167
MHmmp,ICHvk1,0.893972033
ICHmk3,ESSFdh2,0.89393068
